geo;time;excel time;lon;lat;alt;provider;accuracy;course;speed;distance
geo;16:31:59.449;42029.688882511575;30.3359799;60.0772182;45;gps;9;292.6;12.789;1321.732
geo;16:32:00.389;42029.688893391205;30.3358166;60.0772354;45;gps;8;293.4;10.05;1331.179
geo;16:32:01.417;42029.68890528935;30.3356858;60.077278;45;gps;7;294.4;8.559;1339.977
geo;16:32:02.412;42029.68891680556;30.3355657;60.0773093;47;gps;7;293.4;7.566;1347.506
geo;16:32:03.421;42029.688928483796;30.3355043;60.0773408;47;gps;6;292.5;5.836;1353.394
geo;16:32:04.430;42029.688940162036;30.3354382;60.0773441;47;gps;5;268.7;3.881;1357.31
geo;16:32:05.441;42029.68895186343;30.3354092;60.0773167;46;gps;5;230;2.693;1360.033
geo;16:32:06.395;42029.68896290509;30.3354071;60.0772915;46;gps;4;190.8;2.462;1362.382
geo;16:32:07.426;42029.68897483796;30.3354343;60.077269;45;gps;4;167.9;2.236;1364.687
geo;16:32:08.394;42029.68898604167;30.335447;60.0772638;46;gps;4;139.7;1.803;1366.432
geo;16:32:09.414;42029.68899784722;30.3354547;60.077253;46;gps;4;126.4;1.601;1368.065
geo;16:32:10.430;42029.68900960648;30.3354601;60.0772545;48;gps;4;126.4;1.118;1369.201
geo;16:32:11.412;42029.68902097222;30.3354538;60.0772509;48;gps;5;0;1;1370.183
geo;16:32:12.418;42029.689032615745;30.3354437;60.0772544;48;gps;5;0;1;1371.189
geo;16:32:13.415;42029.68904415509;30.33544;60.0772486;47;gps;5;0;1;1372.186
geo;16:32:14.422;42029.68905581019;30.3354415;60.0772484;47;gps;5;0;1;1373.193
geo;16:32:15.411;42029.68906725694;30.3354483;60.077251;47;gps;4;126.4;1.031;1374.213
geo;16:32:16.420;42029.68907893519;30.3354575;60.0772434;47;gps;4;126.4;1.118;1375.341
geo;16:32:17.422;42029.68909053241;30.3354865;60.0772398;47;gps;4;95.9;1.601;1376.945
